candidate_name,start of T90-F (UTC),T90-F,start of T90(UTC),T90,SNR
210724C,2021-07-24T05:33:33.184781,26.75,-,-,-
210724D,2021-07-24T16:54:35.675616,35.2,-,-,-
210724E,2021-07-24T18:45:20.882646,31.55,-,-,-
210724F,2021-07-24T20:13:21.285880,24.7,-,-,-
210724G,2021-07-24T21:07:38.032335,19.78,-,-,-
210724H,2021-07-24T21:50:59.470552,21.06,-,-,-
210725A,2021-07-25T00:28:02.928035,27.01,-,-,-
210725B,2021-07-25T09:34:51.203686,19.14,-,-,-
210725C,2021-07-25T10:48:06.400824,33.54,-,-,-
210725D,2021-07-25T17:12:03.888010,40.26,-,-,-
210727A,2021-07-27T00:53:07.217303,27.52,-,-,-
210727B,2021-07-27T14:06:20.912014,33.02,-,-,-
210727C,2021-07-27T17:01:40.001036,29.38,-,-,-
210727D,2021-07-27T18:12:13.232020,30.14,-,-,-
210728A,2021-07-28T01:21:55.040021,26.69,-,-,-
210728B,2021-07-28T01:43:18.432015,16.0,2021-07-28T01:43:28.672012,0.38,8.18
210728C,2021-07-28T16:18:46.194023,26.56,-,-,-
210728D,2021-07-28T22:22:12.448366,47.49,-,-,-
210729A,2021-07-29T06:42:34.034190,25.54,-,-,-
210729B,2021-07-29T17:33:52.689500,28.35,-,-,-
210730A,2021-07-30T14:11:16.801015,25.54,-,-,-
210730B,2021-07-30T16:43:23.872428,32.7,2021-07-30T16:43:48.000424,4.67,4.31
210731A,2021-07-31T12:04:49.742854,27.9,-,-,-
210731B,2021-07-31T15:41:44.432802,41.79,-,-,-
210731C,2021-07-31T19:11:50.000152,52.86,-,-,-
210801A,2021-08-01T13:51:17.199821,51.2,-,-,-
210801B,2021-08-01T16:13:53.664896,24.19,-,-,-
210801C,2021-08-01T19:21:03.168320,33.73,-,-,-
210802A,2021-08-02T03:08:25.488611,30.08,-,-,-
210802B,2021-08-02T07:32:07.488537,18.3,-,-,-
210802C,2021-08-02T12:01:00.304370,29.25,-,-,-
210802D,2021-08-02T14:55:58.700076,56.83,-,-,-
210802E,2021-08-02T15:35:08.464165,29.12,-,-,-
210802F,2021-08-02T16:42:27.090594,35.52,-,-,-
210802G,2021-08-02T21:57:04.049136,45.89,-,-,-
210802H,2021-08-02T22:56:00.235618,37.5,-,-,-
210803A,2021-08-03T13:03:45.194312,54.02,-,-,-
210803B,2021-08-03T13:53:15.194312,24.7,-,-,-
210804A,2021-08-04T03:42:29.104839,27.14,-,-,-
210804B,2021-08-04T11:22:24.771274,59.71,-,-,-
210804C,2021-08-04T14:27:43.153034,38.27,-,-,-
210804D,2021-08-04T14:31:12.657032,23.62,-,-,-
210804E,2021-08-04T20:13:17.680406,22.08,-,-,-
210804F,2021-08-04T22:44:50.000358,28.35,-,-,-
210805A,2021-08-05T00:08:46.480320,15.3,2021-08-05T00:08:55.888314,0.26,240.58
210805B,2021-08-05T16:54:34.176760,39.1,-,-,-
210805C,2021-08-05T17:40:19.053188,21.25,-,-,-
210805D,2021-08-05T20:45:28.657196,24.13,-,-,-
210805E,2021-08-05T22:20:40.624501,29.31,-,-,-
210805F,2021-08-05T23:03:59.040953,28.86,-,-,-
210806A,2021-08-06T14:46:21.193606,22.78,-,-,-
210806B,2021-08-06T15:02:42.976584,28.22,-,-,-
210806C,2021-08-06T23:11:50.000302,35.33,-,-,-
210807A,2021-08-07T10:31:27.388691,27.78,-,-,-
210807B,2021-08-07T10:58:30.751335,29.18,-,-,-
210807C,2021-08-07T14:01:41.584175,25.41,-,-,-
210807D,2021-08-07T23:37:41.392846,61.95,2021-08-07T23:37:44.592846,30.46,8.57
210807E,2021-08-07T23:38:45.776846,44.16,-,-,-
210808A,2021-08-08T08:08:12.552016,24.38,-,-,-
210808B,2021-08-08T10:29:31.605282,25.09,-,-,-
210808C,2021-08-08T10:43:12.101290,35.46,-,-,-
210808D,2021-08-08T12:14:41.697376,32.83,-,-,-
210808E,2021-08-08T12:22:51.025366,28.74,-,-,-
210808F,2021-08-08T13:04:49.680125,30.78,2021-08-08T13:04:59.472112,19.71,5.31
210809A,2021-08-09T08:23:44.374716,28.74,-,-,-
210809B,2021-08-09T08:38:08.006731,26.3,2021-08-09T08:38:11.590716,11.2,3.16
210809C,2021-08-09T10:25:36.584513,26.3,-,-,-
210809D,2021-08-09T10:39:22.120504,30.66,-,-,-
210809E,2021-08-09T11:05:35.808085,21.12,-,-,-
210809F,2021-08-09T13:48:30.437871,36.54,-,-,-
210809G,2021-08-09T16:12:48.689016,29.95,-,-,-
210809H,2021-08-09T17:54:00.000324,33.79,-,-,-
210810A,2021-08-10T07:07:11.072080,31.3,-,-,-
210810B,2021-08-10T07:35:18.000086,31.94,-,-,-
210810C,2021-08-10T09:49:15.396498,41.22,-,-,-
210810D,2021-08-10T15:08:10.001734,63.17,-,-,-
210811A,2021-08-11T11:14:42.047978,43.01,-,-,-
210811B,2021-08-11T11:20:43.919983,40.32,-,-,-
210811C,2021-08-11T11:44:10.367979,41.02,2021-08-11T11:44:36.095978,9.66,3.12
210811D,2021-08-11T14:39:49.027800,33.6,-,-,-
210811E,2021-08-11T22:55:50.000392,24.58,-,-,-
210812A,2021-08-12T12:01:22.928133,27.01,-,-,-
210812B,2021-08-12T16:53:33.136352,36.8,-,-,-
210813A,2021-08-13T06:28:27.296887,27.26,2021-08-13T06:28:36.384886,25.34,4.09
210813B,2021-08-13T09:09:04.401168,56.64,-,-,-
210813C,2021-08-13T20:33:28.832313,31.1,-,-,-
210814A,2021-08-14T07:29:48.577589,23.81,-,-,-
210814B,2021-08-14T08:22:41.776724,30.14,-,-,-
210814C,2021-08-14T09:13:40.000182,32.13,-,-,-
210816A,2021-08-16T05:12:59.932494,19.84,-,-,-
210816B,2021-08-16T10:38:44.749956,28.42,-,-,-
210816C,2021-08-16T13:12:04.528902,26.69,-,-,-
210817A,2021-08-17T03:18:44.186204,25.02,-,-,-
210817B,2021-08-17T06:53:46.573004,28.8,-,-,-
210817C,2021-08-17T17:05:36.434855,15.42,2021-08-17T17:05:46.290844,0.64,8.33
210818A,2021-08-18T08:37:02.017190,28.42,-,-,-
210818B,2021-08-18T12:43:52.352031,23.62,-,-,-
210818C,2021-08-18T16:09:36.784422,33.15,-,-,-
210818D,2021-08-18T19:57:29.695639,21.44,-,-,-
210819A,2021-08-19T02:12:07.569247,20.93,-,-,-
210819B,2021-08-19T03:01:12.593448,42.62,-,-,-
210819C,2021-08-19T03:13:40.001444,31.1,-,-,-
210819D,2021-08-19T04:53:38.630462,40.9,-,-,-
210819E,2021-08-19T09:48:43.042752,34.11,-,-,-
210819F,2021-08-19T14:08:58.256214,41.28,-,-,-
210819G,2021-08-19T16:52:39.184501,18.56,-,-,-
210819H,2021-08-19T17:57:36.287870,20.74,-,-,-
210820A,2021-08-20T02:04:16.976122,26.62,-,-,-
210820B,2021-08-20T03:15:46.768641,28.48,-,-,-
210820C,2021-08-20T15:46:59.648119,40.58,2021-08-20T15:47:15.712116,58.43,291.4
210820D,2021-08-20T19:42:03.505921,36.22,2021-08-20T19:42:13.489912,17.34,4.06
210820E,2021-08-20T19:43:00.001912,45.5,-,-,-
210821A,2021-08-21T02:50:21.719192,30.34,-,-,-
210821B,2021-08-21T05:20:55.360012,48.58,-,-,-
210821C,2021-08-21T11:08:58.257976,37.7,-,-,-
210821D,2021-08-21T15:50:47.841371,25.66,2021-08-21T15:50:50.273366,17.47,4.59
210821E,2021-08-21T18:19:19.217154,36.93,-,-,-
210821F,2021-08-21T18:50:02.161167,27.78,-,-,-
210822A,2021-08-22T00:32:50.598580,43.07,-,-,-
210822B,2021-08-22T02:11:59.657762,31.3,-,-,-
210825A,2021-08-25T23:39:31.401114,45.76,-,-,-
210826A,2021-08-26T05:12:12.273260,32.45,-,-,-
210826B,2021-08-26T16:24:04.816238,24.83,-,-,-
210827A,2021-08-27T00:27:52.560709,29.7,-,-,-
210827B,2021-08-27T02:10:16.354692,43.58,-,-,-
210827C,2021-08-27T03:18:10.304326,25.79,-,-,-
210827D,2021-08-27T12:33:24.032202,35.9,-,-,-
210827E,2021-08-27T13:22:50.000526,31.04,-,-,-
210827F,2021-08-27T17:15:05.120048,34.82,-,-,-
210827G,2021-08-27T20:08:32.464328,36.74,-,-,-
210827H,2021-08-27T22:31:28.465067,21.7,-,-,-
210827I,2021-08-27T23:37:49.291384,49.92,-,-,-
210828A,2021-08-28T02:01:41.345334,28.1,-,-,-
210828B,2021-08-28T04:16:58.364680,19.33,-,-,-
210828C,2021-08-28T06:03:16.896898,23.04,-,-,-
210828D,2021-08-28T06:06:10.752890,69.18,-,-,-
210828E,2021-08-28T06:10:14.880894,45.06,-,-,-
210828F,2021-08-28T06:11:34.224889,20.54,-,-,-
210829A,2021-08-29T00:51:04.684958,40.77,-,-,-
210829B,2021-08-29T04:09:38.960609,30.98,-,-,-
210829C,2021-08-29T05:12:25.040220,24.9,-,-,-
210829D,2021-08-29T10:10:13.952570,28.48,-,-,-
210829E,2021-08-29T12:05:59.408901,30.53,-,-,-
210830A,2021-08-30T02:38:55.237397,19.52,-,-,-
210830B,2021-08-30T09:05:36.945181,37.44,-,-,-
210830C,2021-08-30T11:53:14.513261,55.42,2021-08-30T11:53:18.545250,43.52,51.58
210830D,2021-08-30T13:26:12.288857,27.65,-,-,-
210830E,2021-08-30T13:32:48.064850,71.87,2021-08-30T13:32:55.104842,44.16,29.53
210830F,2021-08-30T18:30:28.496545,17.47,-,-,-
210830G,2021-08-30T20:24:23.960013,38.98,-,-,-
210831A,2021-08-31T02:03:10.336201,43.2,-,-,-
210831B,2021-08-31T04:00:18.608445,25.66,-,-,-
210831C,2021-08-31T14:17:21.280808,24.58,-,-,-
210831D,2021-08-31T19:15:38.113726,26.24,-,-,-
210831E,2021-08-31T20:11:30.808016,24.13,-,-,-
210831F,2021-08-31T20:42:05.873656,27.2,-,-,-
210831G,2021-08-31T22:30:11.924054,24.26,-,-,-
210901A,2021-09-01T02:01:32.880009,23.04,-,-,-
210901B,2021-09-01T08:22:50.000314,26.3,-,-,-
210901C,2021-09-01T17:34:29.806809,30.78,-,-,-
210901D,2021-09-01T22:51:36.726518,40.13,-,-,-
210901E,2021-09-01T23:02:52.064584,28.48,-,-,-
210901F,2021-09-01T23:20:00.000572,25.09,-,-,-
210902A,2021-09-02T06:08:29.968217,21.57,-,-,-
210902B,2021-09-02T18:44:19.450508,29.06,-,-,-
210902C,2021-09-02T23:44:24.371353,14.53,-,-,-
210903A,2021-09-03T00:21:55.936667,21.38,-,-,-
210903B,2021-09-03T04:44:59.665610,26.5,-,-,-
210903C,2021-09-03T06:55:24.160532,35.78,-,-,-
210903D,2021-09-03T07:44:50.000370,24.45,-,-,-
210903E,2021-09-03T18:28:29.490242,37.31,-,-,-
210903F,2021-09-03T20:00:02.881370,35.58,-,-,-
210904A,2021-09-04T03:23:44.400963,21.7,-,-,-
210904B,2021-09-04T06:20:35.696738,22.72,2021-09-04T06:20:45.424724,11.39,3.97
210905A,2021-09-05T00:12:13.776022,36.16,2021-09-05T00:12:21.200008,24.06,18.58
210905B,2021-09-05T09:46:08.081033,29.95,-,-,-
210905C,2021-09-05T13:37:57.904457,39.55,-,-,-
210905D,2021-09-05T19:35:32.792045,23.23,-,-,-
210906A,2021-09-06T01:06:34.753136,27.2,-,-,-
210906B,2021-09-06T02:23:25.265642,38.85,-,-,-
210906C,2021-09-06T16:15:27.595772,36.61,-,-,-
210907A,2021-09-07T03:28:49.760055,20.03,-,-,-
210907B,2021-09-07T14:48:22.639775,24.38,-,-,-
210907C,2021-09-07T18:14:47.585593,36.42,-,-,-
210907D,2021-09-07T19:12:40.935121,44.54,-,-,-
210907E,2021-09-07T19:27:46.215126,19.01,-,-,-
210907F,2021-09-07T20:54:43.923445,32.58,-,-,-
210908A,2021-09-08T22:19:58.592099,31.81,-,-,-
210909A,2021-09-09T01:07:20.609274,31.55,-,-,-
210909B,2021-09-09T04:27:03.920394,21.76,-,-,-
210909C,2021-09-09T15:28:55.639208,30.78,-,-,-
210909D,2021-09-09T20:31:09.969226,21.57,2021-09-09T20:31:22.577226,4.29,5.36
210909E,2021-09-09T20:57:55.761237,16.58,-,-,-
210910A,2021-09-10T01:04:24.321155,15.62,2021-09-10T01:04:32.065138,2.37,9.6
210910B,2021-09-10T01:08:30.801141,15.81,2021-09-10T01:08:40.337138,2.75,18.52
210910C,2021-09-10T01:17:09.073154,15.42,2021-09-10T01:17:18.993138,0.19,86.77
